[INFO] Capture started.
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1092 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 154 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1096 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 154 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1096 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 154 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1096 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 154 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1096 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 154 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1096 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 154 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1096 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 154 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1096 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:50837 | DST: 142.251.220.150:443 | 35 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:50837 | DST: 142.251.220.150:443 | 31 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:50837 | DST: 142.251.220.150:443 | 31 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 389 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:50837 | DST: 142.251.220.150:443 | 31 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:50837 | DST: 142.251.220.150:443 | 31 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:50837 | DST: 142.251.220.150:443 | 31 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:50837 | DST: 142.251.220.150:443 | 35 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:50837 | DST: 142.251.220.150:443 | 31 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:50837 | DST: 142.251.220.150:443 | 31 bytes (HTTPS)
